Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
"LEVETIRACETAM, KEPPRA",,L189,LEVETIRACETAM,,Levetiracetam (30471-7), ,Serum or Plasma,Plain Red Top Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube ,"1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate. Please submit a separate tube for this test.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,Samples collected in serum separator tubes., ,"Tuesday, Wednesday, Thursday, Friday, Sunday",2 - 4 Days,12.0 - 46.0 mcg/mL,Analytical Chemistry,,Approved,80177,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),"Ideal sampling time for all antiepileptic drugs is immediately before the next oral dose (trough).  If this is not possible, patients should not be advised to delay their scheduled dose for longer than 2-3 hours.  Sample collection time and the time that the medication was last ingested should be noted on the requisition.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,LEVETIRACETAM
"LP-PLA2, PLAC",,E383,LP-PLA2 ACTIVITY,Inflammatory marker to identify increased risk of atherosclerotic cardiovascular disease.,Lp-PLA2 Activity (no LOINC defined at this time), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,Hemolyzed specimens, ,"Monday, Wednesday, Friday",1 - 2 Days,<225 nmol/min/mL,Core Laboratory,,Approved,83698,Colorimetric/Kinetic,,FDA cleared or approved assay,LP-PLA2 ACTIVITY
MERCURY BLOOD,,L850,MERCURY WHOLE BLOOD,,Mercury Blood (5685-3), ,Whole Blood,Trace Metal Free EDTA (Royal Blue Top) Tube,None,"1.0 mL (0.4 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 1 Week; Refrigerated; 12 Days,Heparinized specimens.  Frozen samples. Clotted samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2 - 4 Days,< 10.1 mcg/L,Analytical Chemistry,,Not currently NYSDOH approved,83825,Inductively coupled plasma-mass spectrometry (ICP-MS),"Elevated concentrations of trace elements in specimens collected in tubes that are not trace element-free may be due to contamination. Results should be confirmed with a second specimen collected in a trace element-free tube, such as a royal blue (EDTA) sterile tube. Diet, medication, and nutritional supplements may introduce interfering substances. Patients should be encouraged to discontinue nutritional supplements, vitamins, minerals, nonessential over-the-counter medications (upon the advice of their physician), and avoid shellfish and seafood for 48 to 72 hours.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,MERC-WBLD
"METHYLMALONIC ACID, MMA",,E744,METHYLMALONIC ACID,,Methylmalonic Acid (13964-2), ,Serum or Plasma,Serum Separator Tube or Plain Red Top Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"2.0 mL (0.3 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and freeze immediately.,Frozen,Refrigerated: 5 Days; Frozen: 1 Month,Ambient samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",2 - 3 Days,< 0.41 mcmol/L,Analytical Chemistry,,Approved,83921,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,METHYLMALONIC ACID
"MLPA 1 AND 2, BRCA 1/2 MLPA",,W261,BRCA 1/2 MLPA DEL/DUP,"Preferred initial test is BRCA1 and BRCA2, Comprehensive (W260). This test may be ordered if deletion/duplication analysis not performed with sequencing analysis.",BRCA 1/2 Del/Dup Interp (no LOINC defined at this time), ,Whole Blood,EDTA (Lavender Top) Tube,See Additional Information,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens., ,Weekly,10 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81213,Multiplex Ligation-dependent Probe Assay (MLPA) of all BRCA1 and BRCA2 coding exons,"Large rearrangements causing deletions or duplications account for approximately 6 to 10% of clinically significant mutations in BRCA1 and BRCA2. This test detects large deletions and duplications involving all exons of BRCA1 and BRCA2. Single nucleotide variants or small insertion/deletions are not detected. For complete evaluation of risk of hereditary breast and ovarian cancer related to BRCA1 and BRCA2, order W260, BRCA1 and BRCA2, Comprehensive.Alternate Sample Type: Purified DNASample Quantity: 100mcL at 50 ng/mcL (Minimum of 20 mcL at a minimum concentration of 15 ng/mcL)Specimen Stability: Ultra-frozen: 45 Days ",This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,BRCA1 AND 2 MLPA
MTHFR MUTATION DETECTION,,W001,MTHFR MUTATION DETECTION,,"MTHFR Mutation C677T (28005-7), MTHFR Mutation A1298C (28060-2), Interpretation", ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week,Frozen samples. Heparizined specimens., ,"Tuesday, Thursday",5 - 7 Days,Reference ranges will be applied per report,Molecular,,Approved,81291,Polymerase chain reaction (PCR)/Fluorescence monitoring by Invader Plus,,FDA cleared or approved assay,"MTHFR MUTATION C677T,MTHFR MUTATION A1298C"
"MYCOPLASMA PNEUMONIAE IGG, M PNEUMONIAE IGG",,E145,MYCOPLASMA PNEUMO IGG,,M. pneumoniae Ab IgG (45224-3), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 8 Hours; Refrigerated: 2 Days; Frozen: 45 Days,"Do not use bacterially contaminated samples. Grossly hemolyzed, icteric or lipemic samples.", ,"Monday, Wednesday, Friday",2 - 4 Days,<0.8 Ratio,Core Laboratory,,Approved,86738,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,MYCOPLASMA PNEUMO IGG
"MYCOPLASMA PNEUMONIAE IGG/IGM, MYCOPLASMA PNEUMONIAE G/M, M PNEUMONIAE IGG/IGM, M PNEUMONIAE G/M",,E144,MYCOPLASMA PNEUMO G/M,,"M. pneumoniae Ab IgG (45224-3), M. pneumoniae Ab IgM (5257-1)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 8 Hours; Refrigerated: 2 Days; Frozen: 45 Days,"Do not use bacterially contaminated samples. Grossly hemolyzed, icteric or lipemic samples.", ,"Monday, Wednesday, Friday",2 - 4 Days,M. pneumoniae IgG: <0.8 RatioM. pneumoniae IgM: <0.8 Ratio,Core Laboratory,,Approved,86738 x2,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"MYCOPLASMA PNEUMO IGG,MYCOPLASMA PNEUMO IGM"
"MYCOPLASMA PNEUMONIAE IGM, M PNEUMONIAE IGM",,E146,MYCOPLASMA PNEUMO IGM,,M. pneumoniae Ab IgM (5257-1), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 8 Hours; Refrigerated: 2 Days; Frozen: 45 Days,"Do not use bacterially contaminated samples. Grossly hemolyzed, icteric or lipemic samples.", ,"Monday, Wednesday, Friday",2 - 4 Days,<0.8 Ratio,Core Laboratory,,Approved,86738,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,MYCOPLASMA PNEUMO IGM
"NIPS COMPREHENSIVE, NON-INVASIVE PRENATAL SCREEN, NIPT COMPREHENSIVE, NON-INVASIVE PRENATAL TEST",,W453,ARIOSA NIPT FS SCAP,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13, fetal risk of sex chromosome aneuploidies X, XXX, XXY, XYY, and XXYY, and for assessment of fetal sex.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category.  Testing may be performed in twin pregnancies to evaluate for trisomies.  Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,FETAL SEX RESULT,SEX CHROM ANEUPLOIDY,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"NIPS, MONOSOMY X W/ FETAL SEX, NON-INVASIVE PRENATAL SCREEN, NIPT, MONOSOMY X W/ FETAL SEX, NON-INVASIVE PRENATAL TEST w/ FETAL SEX AND MX",,W452,ARIOSA NIPT FS MX,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13, risk of fetal monosomy X, and for assessment of fetal sex.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category.  Testing may be performed in twin pregnancies to evaluate for trisomies.  Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,FETAL SEX RESULT,MONOSOMY X RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"NIPS, MONOSOMY X, NON-INVASIVE PRENATAL SCREEN, NIPT, MONOSOMY X, NON-INVASIVE PRENATAL TEST",,W454,ARIOSA NIPT MONOSOMYX,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13 and fetal risk of monosomy X.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category.  Testing may be performed in twin pregnancies to evaluate for trisomies.  Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,MONOSOMY X RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"NIPS, SEX CHROMOSOME ANEUPLOIDY, NON-INVASIVE PRENATAL SCREEN, NIPT, SEX CHROMOSOME ANEUPLOIDY, NON-INVASIVE PRENATAL TEST",,W455,ARIOSA NIPT SEX CHR A,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13 and assess risk of fetal sex chromosome aneuploidies X, XXX, XXY, XYY, and XXYY.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes.  Frozen specimens.  Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category.  Testing may be performed in twin pregnancies to evaluate for trisomies.  Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,SEX CHROM ANEUPLOIDY,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
